FULL_NAME,DRAFT_YEAR,RET_YEAR,SP,OLDHEAD,MIDDLE,MODERN,GP,PTS,REB,AST,STL,BLK,PPG,RPG,APG,SPG,BPG,FG_PCT,FG3_PCT,FT_PCT,RINGS,FMVP,MVP,ALL_NBA,ALL_STAR,ALL_DEF,ROTY,DPOY,HOF
Naz Reid,2019.0,2023.0,5.0,0.0,0.0,1.0,326.0,3561.0,1503.0,361.0,198.0,295.0,10.9,4.6,1.1,0.6,0.9,0.496,0.371,0.717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG Anunoby,2017.0,2023.0,7.0,0.0,0.0,1.0,418.0,5001.0,1786.0,667.0,527.0,224.0,12.0,4.3,1.6,1.3,0.5,0.474,0.376,0.745,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lauri Markkanen,2017.0,2023.0,7.0,0.0,0.0,1.0,403.0,7308.0,2923.0,587.0,281.0,205.0,18.1,7.3,1.5,0.7,0.5,0.459,0.375,0.866,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Trey Lyles,2015.0,2023.0,9.0,0.0,0.0,1.0,581.0,4484.0,2510.0,615.0,219.0,206.0,7.7,4.3,1.1,0.4,0.4,0.443,0.347,0.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenrich Williams,2018.0,2023.0,6.0,0.0,0.0,1.0,322.0,2054.0,1368.0,598.0,254.0,90.0,6.4,4.2,1.9,0.8,0.3,0.468,0.36,0.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Gilyard,2022.0,2023.0,2.0,0.0,0.0,1.0,42.0,176.0,50.0,144.0,36.0,5.0,4.2,1.2,3.4,0.9,0.1,0.399,0.403,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wendell Carter Jr.,2018.0,2023.0,6.0,0.0,0.0,1.0,315.0,3947.0,2681.0,631.0,195.0,240.0,12.5,8.5,2.0,0.6,0.8,0.517,0.334,0.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alondes Williams,2022.0,2023.0,2.0,0.0,0.0,1.0,8.0,5.0,2.0,0.0,0.0,1.0,0.6,0.2,0.0,0.0,0.1,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malik Williams,2023.0,2023.0,1.0,0.0,0.0,1.0,7.0,19.0,38.0,2.0,3.0,4.0,2.7,5.4,0.3,0.4,0.6,0.265,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herbert Jones,2021.0,2023.0,3.0,0.0,0.0,1.0,220.0,2228.0,837.0,528.0,338.0,164.0,10.1,3.8,2.4,1.5,0.7,0.482,0.373,0.824,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
