FULL_NAME,DRAFT_YEAR,RET_YEAR,SP,OLDHEAD,MIDDLE,MODERN,GP,PTS,REB,AST,STL,BLK,PPG,RPG,APG,SPG,BPG,FG_PCT,FG3_PCT,FT_PCT,RINGS,FMVP,MVP,ALL_NBA,ALL_STAR,ALL_DEF,ROTY,DPOY,HOF
Serge Ibaka,2009,2022,14,0,0,1,919,11028,6513.0,749,373,1759,12.0,7.1,0.8,0.4,1.9,0.513,0.359,0.757,1,0,0,0,0,3,0,0,0
Glen Gondrezick,1977,1982,6,1,0,0,435,2544,1964.0,605,0,0,5.8,4.5,1.4,0.0,0.0,0.473,0.0,0.724,0,0,0,0,0,0,0,0,0
Troy Murphy,2001,2012,12,0,0,1,729,7860,5708.0,1088,478,294,10.8,7.8,1.5,0.7,0.4,0.445,0.388,0.785,0,0,0,0,0,0,0,0,0
Al Thornton,2007,2010,4,0,0,1,296,3527,1233.0,353,185,152,11.9,4.2,1.2,0.6,0.5,0.452,0.293,0.747,0,0,0,0,0,0,0,0,0
Donnie Forman,1948,1948,1,1,0,0,44,179,,74,0,0,4.1,0.0,1.7,0.0,0.0,0.294,0.0,0.642,1,0,0,0,0,0,0,0,0
Alvin Holt,1970,1970,1,1,0,0,6,4,4.0,0,0,0,0.7,0.7,0.0,0.0,0.0,0.125,0.0,0.667,0,0,0,0,0,0,0,0,0
Chuck Hayes,2005,2015,11,0,0,1,644,2410,3243.0,781,478,237,3.7,5.0,1.2,0.7,0.4,0.498,0.0,0.62,0,0,0,0,0,0,0,0,0
Ed Kasid,1946,1946,1,1,0,0,8,12,,6,0,0,1.5,0.0,0.8,0.0,0.0,0.286,0.0,0.0,0,0,0,0,0,0,0,0,0
DaJuan Summers,2009,2012,4,0,0,1,83,278,82.0,29,18,8,3.3,1.0,0.3,0.2,0.1,0.384,0.367,0.642,0,0,0,0,0,0,0,0,0
Richard Dumas,1992,1995,4,0,1,0,102,1080,351.0,111,137,47,10.6,3.4,1.1,1.3,0.5,0.509,0.231,0.694,0,0,0,0,0,0,0,0,0
Nick Collison,2004,2017,14,0,0,1,910,5359,4701.0,939,446,469,5.9,5.2,1.0,0.5,0.5,0.534,0.208,0.723,0,0,0,0,0,0,0,0,0
Keith Van Horn,1997,2005,9,0,1,0,575,9206,3909.0,900,472,295,16.0,6.8,1.6,0.8,0.5,0.443,0.361,0.835,0,0,0,0,0,0,0,0,0
Kenny Higgs,1978,1981,4,1,0,0,216,1470,391.0,944,0,0,6.8,1.8,4.4,0.0,0.0,0.441,0.0,0.804,0,0,0,0,0,0,0,0,0
Tomas Satoransky,2016,2021,6,0,0,1,388,2676,1117.0,1586,309,60,6.9,2.9,4.1,0.8,0.2,0.468,0.354,0.82,0,0,0,0,0,0,0,0,0
